,date_01,Time (GPS s),Velocity forward (m/s),Velocity lateral (m/s),Speed horizontal (m/s),Acceleration forward (m/s2),Acceleration lateral (m/s2),Acceleration down (m/s2),Acceleration filtered forward (m/s2),Acceleration filtered lateral (m/s2),Acceleration filtered down (m/s2),date,jerkRT,speedOpt,accLongOptFilt,accLatOptFilt,jerkOptFilt,speedOptKPH
9309,1900-01-01 14:29:25,1368415711,15.5171914,0.080975701,55.86264967,-0.045257254,1.733481934,-9.781811181,-0.078204671,1.681113042,-9.808532226,28:12.7,-0.069047256,56.27687244602821,0.007384534927963339,1.7733161840796159,0.01705973218037357,202.59674080570156
9310,1900-01-01 14:29:26,1368415711,15.51053955,0.079425196,55.83867446,-0.220002004,1.6476058,-9.490269953,-0.09853384,1.677104748,-9.732922869,28:12.8,-0.05121486,56.28355297680217,0.009118879167686294,1.7748579610787358,0.017170246816765836,202.62079071648782
9311,1900-01-01 14:29:27,1368415711,15.4989799,0.073654961,55.79695767,-0.023062677,1.599032148,-10.03580519,-0.108573694,1.602465935,-9.823770094,28:12.9,0.018037147,56.29084589063343,0.010859354215094456,1.7763115548368333,0.017246702169798536,202.64704520628035
9312,1900-01-01 14:29:28,1368415711,15.49190307,0.07658378,55.77153251,-0.090695814,1.501737438,-10.05583964,-0.071540055,1.687718878,-9.932156965,28:13.0,0.077716714,56.29875262610912,0.012602464063750117,1.777674130512327,0.017288607222691633,202.67550945399285
9313,1900-01-01 14:29:29,1368415711,15.48715831,0.082567601,55.75456227,-0.089446152,1.515694052,-10.02706974,-0.0755108,1.67920284,-10.0274998,28:13.1,0.087163609,56.30727337568384,0.014344685521500587,1.7789424301971095,0.01729556798617225,202.70618415246184
9314,1900-01-01 14:29:30,1368415711,15.48297516,0.082724729,55.73950615,0.005418686,1.667033581,-9.821960304,-0.018635986,1.593566483,-9.773290984,28:13.2,0.098992059,56.316407072651856,0.016082478528151815,1.7801127747327126,0.017267293705543762,202.7390654615467
9315,1900-01-01 14:29:31,1368415711,15.47782722,0.084378762,55.72100597,0.102064044,1.550435627,-9.752451536,-0.080385811,1.542914468,-9.828882725,28:13.3,0.127187384,56.32615138189995,0.01781229710021757,1.7811810670932906,0.01720360279916662,202.77414497483983
9316,1900-01-01 14:29:32,1368415711,15.47531016,0.0784628,55.71183264,-0.036391578,1.718728123,-9.652735255,-0.039558114,1.472600577,-9.696269816,28:13.4,0.177904625,56.336502694654584,0.019530600702301695,1.7821427973240809,0.01710442831161476,202.8114097007565
9317,1900-01-01 14:29:33,1368415712,15.47337214,0.077476426,55.70483798,-0.039988463,1.518781018,-9.705005014,-0.041563576,1.523357973,-9.862322641,28:13.5,0.177464341,56.347456127412755,0.02123386579473821,1.7829930488553338,0.016969822707810254,202.8508420586859
9318,1900-01-01 14:29:34,1368415712,15.4728952,0.070985881,55.70300891,-0.044813449,1.266354354,-9.756495466,0.021700106,1.476598893,-9.904527683,28:13.6,0.164977177,56.35900552522959,0.02291859743499364,1.7837265060865717,0.016799961826152475,202.89241989082655
9319,1900-01-01 14:29:35,1368415712,15.48095494,0.071536771,55.7320328,-0.00146447,1.480332937,-9.828220167,0.062057733,1.563759796,-9.870578483,28:13.7,0.188089243,56.371143469511814,0.024581341034539007,1.7843374634474778,0.016595147824710093,202.93611649024254
9320,1900-01-01 14:29:36,1368415712,15.48136618,0.070235904,55.7334918,0.071748112,1.49047552,-9.880225652,0.016384811,1.507468383,-9.756446844,28:13.8,0.208142097,56.383861290425486,0.026218694420856788,1.7848198364527412,0.016355811017112237,202.98190064553177
9321,1900-01-01 14:29:37,1368415712,15.48578691,0.069925733,55.74940121,0.048158251,1.496041168,-9.76475509,0.028648441,1.547348042,-9.709118732,28:13.9,0.146842466,56.397149083973574,0.027827320196236325,1.7851671751952487,0.016082510542356675,203.02973670230486
9322,1900-01-01 14:29:38,1368415712,15.49300818,0.075273357,55.77548773,0.025888363,1.656148369,-9.853826617,0.078319111,1.583245797,-9.804737249,28:14.0,0.092296338,56.41099573375855,0.029403958227757248,1.7853726803038146,0.01577593384424501,203.07958464153077
9323,1900-01-01 14:29:39,1368415712,15.50724799,0.071475306,55.82668577,0.237841509,1.644535288,-9.908820567,0.109959514,1.503965105,-9.860731341,28:14.1,0.102863132,56.4253889374208,0.030945438075790657,1.7854292210597753,0.015436895022548202,203.13140017471488
9324,1900-01-01 14:29:40,1368415712,15.51975098,0.073930206,55.87173744,0.126271091,1.346842049,-9.789851878,0.12064079,1.536688927,-9.88875624,28:14.2,0.192417254,56.440315237707026,0.03244869117931044,1.785329355298012,0.015066332219702515,203.1851348557453
9325,1900-01-01 14:29:41,1368415712,15.52860854,0.071582297,55.90358469,-0.021411966,1.769638403,-9.826035514,0.050098092,1.57184565,-9.915933596,28:14.3,0.192028488,56.45576005805725,0.03391076257783037,1.7850653508648313,0.014665304173457062,203.24073620900612
