Index,vehSpd_RT,vehSpd_GoPro,accLong_RT,accLong_GoPro,accLat_RT,accLat_GoPro
177,16.78577215,16.55597131,0.212720588,-0.142565947,0.469060775,0.467625899
178,16.790686,16.62607011,0.301104439,-0.097961631,0.663873624,0.335851319
179,16.81084004,16.51113081,0.154661919,-0.279976019,0.613607868,0.35059952
180,16.83577123,16.82639393,0.06252627,-0.057913669,0.59764162,0.249760192
181,16.84985787,16.61975877,0.193609294,0.14514704,0.607570758,0.349867474
182,16.85926453,16.55067274,0.249386072,-0.063429257,0.664060727,0.35383693
183,16.87354942,17.12060419,-0.017173477,-0.081294964,0.949777789,-0.053117506
184,16.89027746,17.1400194,0.040311204,0.017146283,0.901638634,0.069304556
185,16.91146579,17.39473424,0.079639288,-0.076858513,1.000609481,-0.019064748
186,16.92692782,17.59967405,0.106030849,0.306954436,0.918001176,0.210526316
187,16.94380351,17.44339964,0.226531564,0.221942446,0.740461533,0.235731415
188,16.95428019,17.24733763,0.146226672,-0.106115108,0.660786842,0.16558753
189,16.96939386,17.16591201,0.191319796,0.058513189,0.675692706,0.411630695
190,16.98027207,17.30427934,0.170110915,0.107194245,1.019525371,0.280935252
191,16.98279935,17.22175673,0.316049142,0.285371703,0.60706194,0.095923261
192,16.9877664,17.07543746,0.208506509,0.089360091,0.820545273,-0.109175817
193,16.98835731,16.97573669,0.004736052,0.285611511,0.897672072,0.07470024
194,16.99389177,16.83834376,0.153602147,0.730935252,0.781912185,0.012829736
195,17.00277266,16.99816336,0.010429637,0.180695444,0.836905935,-0.006594724
196,17.00308268,16.85025049,0.147952791,-0.377098321,0.71362208,0.245203837
197,16.99752044,17.0206437,0.257723597,0.330556607,0.953057803,0.132146914
198,16.99741539,16.74817668,0.119923772,0.584052758,0.638594966,0.487769784
199,16.99660405,16.7584167,-0.151122567,0.260311751,0.606053274,0.099280576
200,16.9975416,16.51195279,0.033309863,0.44088729,0.369859833,-0.115227818
201,16.99897756,16.70828767,-0.042557643,0.360311751,0.350200074,0.049520384
202,16.98667516,16.50650053,0.012762391,0.188312508,0.501700979,0.036854727
203,16.97604488,16.53263657,0.123943663,0.226858513,0.29314919,0.157673861
204,16.96992005,17.23750195,-0.127166412,0.380935252,0.310344927,-0.055275779
205,16.95445111,16.97604264,-0.179625781,0.524220624,0.275284302,-0.269904077
206,16.92823109,16.64926913,-0.291252391,0.362230216,0.209228331,-0.191486811
207,16.89426523,16.16850567,-0.064124939,0.159832134,0.346706945,-0.436330935
208,16.8618759,16.11953852,-0.324019637,0.628549792,0.232730569,-0.244478102
209,16.82582087,16.14765334,-0.226233325,0.844484412,0.26462525,-0.827577938
210,16.76897528,16.24892636,-0.29008952,0.06822542,0.270978708,-0.721223022
211,16.73569915,16.01989367,-0.117016845,0.315347722,0.236359887,-0.670383693
212,16.71685815,16.28865828,-0.694831204,0.73177458,0.266252239,-0.372182254
