cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system,longAccel,latAccel
105500,2023-12-04T02:45:20.901Z,31.15349488,121.4814011,35.36932568,11.10744045,11.10361953,8738,9920.901283,99.99,0,MSLV,-0.316786571,0.904676259
105600,2023-12-04T02:45:21.000Z,31.15348733,121.4814038,35.37186258,11.01525616,11.01146694,8738,9921.000856,99.99,0,MSLV,-0.314748201,0.915107914
105700,2023-12-04T02:45:21.100Z,31.15347979,121.4814065,35.37439947,10.92307187,10.91931436,8738,9921.100429,99.99,0,MSLV,-0.305035971,0.902997602
105800,2023-12-04T02:45:21.199Z,31.15347224,121.4814092,35.37693636,10.83088757,10.82716178,8738,9921.200002,99.99,0,MSLV,-0.344440237,0.910513694
105900,2023-12-04T02:45:21.299Z,31.1534647,121.481412,35.37947325,10.73870328,10.73500919,8738,9921.299575,99.99,0,MSLV,-0.333693046,0.904436451
106000,2023-12-04T02:45:21.398Z,31.15345715,121.4814147,35.38201014,10.64651898,10.64285661,8738,9921.399148,99.99,0,MSLV,-0.298561151,0.907673861
106100,2023-12-04T02:45:21.498Z,31.15344961,121.4814174,35.38454703,10.55433469,10.55070403,8738,9921.498721,99.99,0,MSLV,-0.323501199,0.930215827
106200,2023-12-04T02:45:21.598Z,31.15344206,121.4814201,35.38708392,10.4621504,10.45855145,8738,9921.598294,99.99,0,MSLV,-0.369904077,0.910431655
106300,2023-12-04T02:45:21.697Z,31.15343452,121.4814228,35.38962082,10.3699661,10.36639886,8738,9921.697867,99.99,0,MSLV,-0.316906475,0.89616307
106400,2023-12-04T02:45:21.797Z,31.15342697,121.4814255,35.39215771,10.27778181,10.27424628,8738,9921.79744,99.99,0,MSLV,-0.280695444,0.918944844
106500,2023-12-04T02:45:21.896Z,31.15341943,121.4814283,35.3946946,10.18559751,10.1820937,8738,9921.897013,99.99,0,MSLV,-0.305995204,0.915707434
106600,2023-12-04T02:45:21.996Z,31.15341188,121.481431,35.39723149,10.09341322,10.08994111,8738,9921.996586,99.99,0,MSLV,-0.365644327,0.909377761
106700,2023-12-04T02:45:22.095Z,31.15340434,121.4814337,35.39976838,10.00122893,9.997788531,8738,9922.096159,99.99,0,MSLV,-0.351079137,0.905275779
106800,2023-12-04T02:45:22.195Z,31.15339679,121.4814364,35.40230527,9.909044632,9.905635948,8738,9922.195732,99.99,0,MSLV,-0.293764988,0.916546763
106900,2023-12-04T02:45:22.294Z,31.15338925,121.4814391,35.40484216,9.816860338,9.813483365,8738,9922.295305,99.99,0,MSLV,-0.291846523,0.921942446
107000,2023-12-04T02:45:22.394Z,31.1533817,121.4814418,35.40737906,9.724676044,9.721330782,8738,9922.394878,99.99,0,MSLV,-0.342925659,0.909592326
107100,2023-12-04T02:45:22.494Z,31.15337416,121.4814446,35.40991595,9.63249175,9.629178199,8738,9922.494451,99.99,0,MSLV,-0.351558753,0.908273381
107200,2023-12-04T02:45:22.593Z,31.15336662,121.4814473,35.41245284,9.540307456,9.537025617,8738,9922.594024,99.99,0,MSLV,-0.315947242,0.912589928
107300,2023-12-04T02:45:22.693Z,31.15335907,121.48145,35.41498973,9.448123162,9.444873034,8738,9922.693597,99.99,0,MSLV,-0.291366906,0.919304556
107400,2023-12-04T02:45:22.792Z,31.15335153,121.4814527,35.41752662,9.355938868,9.352720451,8738,9922.79317,99.99,0,MSLV,-0.325003155,0.900795153
107500,2023-12-04T02:45:22.892Z,31.15334398,121.4814554,35.42006351,9.263754574,9.260567868,8738,9922.892743,99.99,0,MSLV,-0.350839329,0.904556355
107600,2023-12-04T02:45:22.991Z,31.15333644,121.4814581,35.42260041,9.17157028,9.168415285,8738,9922.992316,99.99,0,MSLV,-0.328657074,0.922182254
107700,2023-12-04T02:45:23.091Z,31.15332889,121.4814609,35.4251373,9.079385986,9.076262702,8738,9923.091889,99.99,0,MSLV,-0.292446043,0.907074341
107800,2023-12-04T02:45:23.191Z,31.15332135,121.4814636,35.42767419,8.987201692,8.984110119,8738,9923.191462,99.99,0,MSLV,-0.308633094,0.90911271
